t=0  22:05:43,53     01.05.2019;;;;;;;;
time;Ug;CosPhi;Ie;Qg;Pg;Uf;Fg Hz;Alpha gr
1,710;0,965;0,973;0,366;0,071;0,205;0,380;50,000;87,000
1,720;0,965;0,973;0,365;0,071;0,205;0,377;50,000;87,500
1,730;0,965;0,973;0,364;0,071;0,205;0,373;50,000;87,500
1,740;0,965;0,973;0,362;0,072;0,205;0,370;50,000;87,300
1,750;0,965;0,973;0,361;0,072;0,205;0,366;50,000;87,000
1,760;0,965;0,973;0,360;0,072;0,205;0,365;50,000;85,500
1,770;0,965;0,973;0,361;0,073;0,205;0,365;50,000;85,800
1,780;0,965;0,973;0,363;0,073;0,205;0,365;50,000;86,600
1,790;0,965;0,968;0,362;0,073;0,205;0,363;50,000;87,500
1,800;0,965;0,973;0,360;0,073;0,205;0,360;50,000;88,400
1,810;0,965;0,973;0,356;0,074;0,205;0,355;50,000;88,200
1,820;0,965;0,973;0,352;0,074;0,205;0,350;50,000;87,900
1,830;0,965;0,968;0,349;0,075;0,205;0,346;50,000;87,700
1,840;0,965;0,968;0,348;0,075;0,205;0,341;50,000;86,500
1,850;0,965;0,968;0,348;0,074;0,205;0,340;50,000;86,500
1,860;0,965;0,973;0,349;0,073;0,205;0,338;50,000;85,800
1,870;0,965;0,973;0,351;0,075;0,205;0,340;50,000;85,600
1,880;0,965;0,973;0,352;0,075;0,205;0,341;50,000;86,100
1,890;0,964;0,973;0,352;0,075;0,205;0,341;50,000;86,200
1,900;0,965;0,973;0,352;0,075;0,205;0,341;50,000;84,800
1,910;0,965;0,973;0,354;0,075;0,205;0,345;50,000;85,200
1,920;0,965;0,968;0,356;0,075;0,204;0,347;50,000;85,200
1,930;0,965;0,968;0,357;0,074;0,204;0,350;50,000;85,700
1,940;0,965;0,973;0,358;0,073;0,205;0,351;50,000;86,900
1,950;0,965;0,973;0,356;0,073;0,205;0,350;50,000;87,300
1,960;0,965;0,973;0,353;0,074;0,205;0,348;50,000;85,800
1,970;0,965;0,973;0,354;0,074;0,205;0,350;50,000;85,600
1,980;0,965;0,973;0,356;0,073;0,205;0,351;50,000;85,600
1,990;0,965;0,973;0,357;0,073;0,205;0,351;50,010;86,400
2,000;0,965;0,973;0,357;0,072;0,205;0,351;50,000;87,500
2,010;0,965;0,973;0,354;0,072;0,205;0,348;50,000;87,200
2,020;0,965;0,973;0,352;0,072;0,205;0,347;50,000;84,400
2,030;0,965;0,973;0,355;0,073;0,205;0,351;50,000;84,000
2,040;0,965;0,973;0,360;0,073;0,204;0,356;50,000;84,100
2,050;0,964;0,973;0,364;0,073;0,205;0,361;50,000;85,600
2,060;0,965;0,968;0,365;0,073;0,205;0,363;50,000;85,400
2,070;0,964;0,973;0,364;0,073;0,205;0,365;49,990;86,200
2,080;0,965;0,973;0,364;0,073;0,205;0,366;49,990;84,300
2,090;0,965;0,973;0,366;0,072;0,205;0,370;50,000;85,700
2,100;0,965;0,973;0,368;0,072;0,205;0,371;50,000;85,400
2,110;0,965;0,973;0,368;0,072;0,205;0,372;50,000;86,500
2,120;0,965;0,973;0,367;0,072;0,205;0,372;50,000;86,700
2,130;0,965;0,972;0,365;0,072;0,206;0,371;50,000;86,800
2,140;0,965;0,973;0,364;0,072;0,205;0,370;50,000;87,300
2,150;0,965;0,973;0,362;0,072;0,205;0,367;50,000;88,500
2,160;0,965;0,972;0,359;0,073;0,206;0,362;50,000;87,700
2,170;0,965;0,972;0,356;0,073;0,206;0,358;50,000;87,300
2,180;0,965;0,972;0,355;0,073;0,206;0,356;50,000;85,200
2,190;0,965;0,972;0,357;0,073;0,206;0,357;50,000;85,400
2,200;0,965;0,972;0,360;0,074;0,206;0,357;50,000;84,800
2,210;0,965;0,967;0,363;0,075;0,206;0,361;50,000;85,200
2,220;0,965;0,972;0,365;0,074;0,207;0,363;50,000;84,600
2,230;0,965;0,972;0,366;0,076;0,207;0,366;50,000;86,200
2,240;0,965;0,967;0,366;0,078;0,207;0,366;50,000;86,900
2,250;0,964;0,967;0,363;0,078;0,207;0,363;50,000;89,100
2,260;0,965;0,967;0,358;0,077;0,207;0,356;50,000;88,500
2,270;0,964;0,972;0,353;0,077;0,208;0,352;50,000;88,700
2,280;0,965;0,972;0,349;0,078;0,208;0,346;50,000;87,000
2,290;0,964;0,967;0,348;0,077;0,208;0,342;50,000;87,100
2,300;0,965;0,967;0,348;0,077;0,208;0,340;50,000;85,900
2,310;0,965;0,967;0,349;0,077;0,208;0,340;50,000;87,000
2,320;0,965;0,972;0,350;0,077;0,208;0,337;50,000;85,600
2,330;0,965;0,972;0,350;0,077;0,208;0,338;50,000;86,600
2,340;0,965;0,967;0,350;0,077;0,208;0,337;50,000;86,900
2,350;0,964;0,967;0,349;0,077;0,208;0,336;50,000;86,400
2,360;0,965;0,972;0,348;0,076;0,208;0,337;50,000;84,700
2,370;0,964;0,972;0,351;0,076;0,208;0,340;50,000;85,000
2,380;0,965;0,972;0,354;0,076;0,208;0,343;50,000;83,900
2,390;0,964;0,972;0,358;0,076;0,208;0,348;50,010;85,000
2,400;0,965;0,967;0,361;0,076;0,207;0,352;50,000;84,600
2,410;0,964;0,967;0,362;0,076;0,207;0,357;50,000;85,300
2,420;0,964;0,967;0,364;0,075;0,207;0,361;50,000;84,700
2,430;0,964;0,972;0,365;0,074;0,207;0,363;50,000;85,900
2,440;0,965;0,967;0,366;0,075;0,207;0,366;50,000;85,300
2,450;0,964;0,972;0,366;0,076;0,208;0,368;50,000;86,700
2,460;0,965;0,972;0,366;0,075;0,208;0,367;50,000;86,500
2,470;0,964;0,967;0,363;0,075;0,207;0,366;50,000;88,300
2,480;0,965;0,972;0,360;0,075;0,207;0,362;50,000;87,500
2,490;0,964;0,972;0,357;0,076;0,207;0,360;50,000;87,900
2,500;0,965;0,972;0,355;0,076;0,208;0,356;50,000;85,800
2,510;0,964;0,972;0,357;0,076;0,208;0,356;50,000;86,000
2,520;0,965;0,967;0,359;0,075;0,207;0,357;50,000;85,300
2,530;0,964;0,972;0,361;0,076;0,207;0,358;50,000;86,800
2,540;0,965;0,972;0,360;0,075;0,207;0,356;50,000;86,900
2,550;0,964;0,972;0,357;0,073;0,207;0,355;50,000;88,200
2,560;0,965;0,972;0,354;0,074;0,207;0,351;50,000;86,700
2,570;0,965;0,972;0,352;0,074;0,207;0,350;50,000;86,800
2,580;0,965;0,972;0,352;0,073;0,206;0,348;50,000;85,400
2,590;0,965;0,972;0,353;0,073;0,206;0,348;50,000;86,300
2,600;0,965;0,972;0,355;0,074;0,206;0,347;50,000;85,400
2,610;0,965;0,972;0,356;0,073;0,206;0,350;50,000;85,500
2,620;0,965;0,972;0,357;0,073;0,206;0,351;50,000;85,200
2,630;0,965;0,972;0,358;0,073;0,206;0,353;50,000;85,900
2,640;0,965;0,972;0,359;0,072;0,206;0,355;50,000;85,400
2,650;0,965;0,972;0,359;0,073;0,206;0,356;50,000;85,900
2,660;0,965;0,972;0,360;0,074;0,206;0,357;50,000;85,600
2,670;0,964;0,972;0,360;0,074;0,206;0,358;50,000;86,200
2,680;0,965;0,967;0,361;0,074;0,206;0,358;50,000;86,400
2,690;0,964;0,972;0,359;0,074;0,206;0,357;50,000;87,500
2,700;0,965;0,972;0,357;0,074;0,206;0,355;50,000;86,200
2,710;0,965;0,972;0,356;0,075;0,206;0,353;50,000;86,900
2,720;0,965;0,967;0,355;0,075;0,206;0,352;50,000;86,900
2,730;0,965;0,972;0,354;0,075;0,206;0,351;50,000;87,000
2,740;0,965;0,972;0,353;0,074;0,206;0,348;50,000;85,800
2,750;0,964;0,972;0,354;0,074;0,206;0,348;50,000;86,100
2,760;0,965;0,972;0,355;0,074;0,206;0,350;50,000;84,300
2,770;0,964;0,968;0,358;0,075;0,205;0,353;50,000;84,800
2,780;0,965;0,972;0,361;0,074;0,206;0,356;50,000;84,000
2,790;0,965;0,972;0,363;0,074;0,206;0,361;50,000;85,300
2,800;0,965;0,968;0,365;0,074;0,205;0,363;50,000;85,100
2,810;0,965;0,968;0,371;0,074;0,205;0,378;50,000;53,400
2,820;0,965;0,972;0,404;0,073;0,206;0,438;50,000;56,500
2,830;0,965;0,972;0,465;0,073;0,206;0,499;50,000;64,000
2,840;0,965;0,972;0,506;0,073;0,206;0,551;50,000;70,100
2,850;0,965;0,972;0,523;0,074;0,206;0,591;50,000;74,900
2,860;0,966;0,972;0,533;0,075;0,206;0,621;50,000;78,400
2,870;0,965;0,967;0,534;0,077;0,206;0,641;50,000;81,600
2,880;0,966;0,972;0,533;0,081;0,207;0,654;50,000;81,800
2,890;0,966;0,967;0,530;0,084;0,207;0,662;50,000;84,600
2,900;0,966;0,967;0,528;0,086;0,208;0,665;50,000;86,400
2,910;0,966;0,962;0,523;0,089;0,208;0,662;50,000;87,700
2,920;0,967;0,957;0,516;0,093;0,208;0,657;50,000;88,900
2,930;0,967;0,957;0,508;0,098;0,209;0,647;50,000;90,600
2,940;0,968;0,957;0,501;0,103;0,211;0,634;50,000;91,800
2,950;0,968;0,956;0,490;0,107;0,211;0,615;50,000;94,600
2,960;0,968;0,952;0,475;0,110;0,211;0,593;50,000;96,400
2,970;0,968;0,951;0,456;0,115;0,212;0,564;50,000;97,700
2,980;0,969;0,947;0,438;0,119;0,213;0,535;50,000;95,300
2,990;0,969;0,942;0,424;0,123;0,213;0,508;50,000;94,300
3,000;0,969;0,942;0,414;0,125;0,214;0,484;50,010;93,400
