t=0  6:46:44,50     26.01.2018;;;;;;;;
time;Ug;Ig;MaxSetUgV/Hz;Qg;If;Uf;Fg Hz;Alpha gr
2,020;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
2,030;1,101;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,040;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,700
2,050;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,600
2,060;1,100;0,000;1,100;0,000;0,375;0,308;50,000;85,600
2,070;1,100;0,000;1,100;0,000;0,375;0,308;49,990;85,600
2,080;1,100;0,000;1,100;0,000;0,375;0,308;49,990;85,600
2,090;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,600
2,100;1,099;0,000;1,100;0,000;0,375;0,309;50,000;85,600
2,110;1,100;0,000;1,100;0,000;0,375;0,309;50,000;85,600
2,120;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
2,130;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
2,140;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
2,150;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,160;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,170;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,180;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,700
2,190;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,200;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,210;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,220;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,230;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,240;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,250;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,800
2,260;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
2,270;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,280;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,290;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,300;1,099;0,000;1,100;0,000;0,374;0,310;49,990;85,800
2,310;1,101;0,000;1,100;0,000;0,375;0,311;50,000;85,800
2,320;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,900
2,330;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,900
2,340;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,900
2,350;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,900
2,360;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,900
2,370;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,900
2,380;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
2,390;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,400;1,100;0,000;1,100;0,000;0,375;0,310;49,990;87,400
2,410;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,500
2,420;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,500
2,430;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,500
2,440;1,100;0,000;1,100;0,000;0,375;0,308;49,990;85,500
2,450;1,101;0,000;1,100;0,000;0,375;0,309;49,990;85,600
2,460;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,700
2,470;1,101;0,000;1,100;0,000;0,375;0,309;49,990;85,700
2,480;1,100;0,000;1,100;0,000;0,375;0,309;49,990;87,400
2,490;1,101;0,000;1,100;0,000;0,375;0,307;49,990;85,500
2,500;1,100;0,000;1,100;0,000;0,375;0,306;49,990;85,400
2,510;1,101;0,000;1,100;0,000;0,375;0,306;49,990;85,400
2,520;1,100;0,000;1,100;0,000;0,375;0,306;49,990;87,000
2,530;1,100;0,000;1,100;0,000;0,375;0,304;49,990;85,200
2,540;1,100;0,000;1,100;0,000;0,375;0,305;49,990;85,200
2,550;1,100;0,000;1,100;0,000;0,375;0,306;49,990;85,300
2,560;1,100;0,000;1,100;0,000;0,375;0,306;49,990;85,400
2,570;1,100;0,000;1,100;0,000;0,375;0,307;49,990;85,400
2,580;1,100;0,000;1,100;0,000;0,375;0,308;49,990;85,500
2,590;1,100;0,000;1,100;0,000;0,375;0,309;49,990;85,600
2,600;1,099;0,000;1,100;0,000;0,374;0,310;49,990;85,800
2,610;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,620;1,099;0,000;1,100;0,000;0,374;0,311;49,990;85,800
2,630;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,640;1,099;0,000;1,100;0,000;0,374;0,311;49,990;85,900
2,650;1,100;0,000;1,100;0,000;0,375;0,312;49,990;85,900
2,660;1,100;0,000;1,100;0,000;0,375;0,313;49,990;86,100
2,670;1,100;0,000;1,100;0,000;0,375;0,313;49,990;86,200
2,680;1,100;0,000;1,100;0,000;0,375;0,313;49,990;86,100
2,690;1,100;0,000;1,100;0,000;0,375;0,313;49,990;86,000
2,700;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,900
2,710;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,720;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,730;1,101;0,000;1,100;0,000;0,375;0,311;49,990;85,800
2,740;1,100;0,000;1,100;0,000;0,375;0,310;49,990;85,800
2,750;1,101;0,000;1,100;0,000;0,375;0,309;49,990;85,700
2,760;1,100;0,000;1,100;0,000;0,375;0,308;49,990;85,600
